"text","category"
"Indian breakfast simple cooking idea with easy instructions","Food"
"Everything about Call of Duty: review for beginners","Gaming"
"Complete pizza easy recipe for beginners. Practical tips and useful information.","Food"
"role playing games: beginner guide with a complete guide","Gaming"
"Europe destination guide on a budget","Travel"
"Paris: travel documentary on a budget","Travel"
"Complete home workout routine for beginners","Fitness"
"Ultimate Minecraft tips and tricks for competitive players. Practical tips and useful information.","Gaming"
"sandwich explained: easy recipe with simple ingredients","Food"
"chocolate cake 15 minute recipe for a quick dinner. Practical tips and useful information.","Food"
"color combinations: fashion tips on a budget","Fashion"
"Learn Valorant with this review with tips and tricks","Gaming"
"Everything about chicken recipe: simple cooking idea for busy days","Food"
"Complete competitive gaming review for competitive players","Gaming"
"Best virtual reality technology explained with real examples","Technology"
"Learn color combinations with this outfit ideas for college students","Fashion"
"office outfits: lookbook for a modern look","Fashion"
"artificial intelligence: technology guide with real examples","Technology"
"generative AI: latest trends for everyday users. Practical tips and useful information.","Technology"
"Best gym workout workout challenge at home. Practical tips and useful information.","Fitness"
"Everything about healthy fitness habits: exercise guide without equipment. Practical tips and useful information.","Fitness"
"Complete mountain destinations destination guide for solo travelers. Practical tips and useful information.","Travel"
"Complete future technology technology explained in 2026","Technology"
"Learn cybersecurity with this study guide from scratch","Education"
"Learn movie trailers with this analysis with spoilers. Practical tips and useful information.","Entertainment"
"Learn fashion styling with this wardrobe guide for college students. Practical tips and useful information.","Fashion"
"machine learning explained: complete guide for college students","Education"
"Best SQL concept explanation from scratch","Education"
"Everything about programming fundamentals: hands-on tutorial with coding exercises","Education"
"Complete summer fashion wardrobe guide for a modern look","Fashion"
"Complete music videos recommendation you should watch. Practical tips and useful information.","Entertainment"
"Complete flexibility training fitness tutorial for building strength. Practical tips and useful information.","Fitness"
"PC gaming explained: setup guide for new players","Gaming"
"morning yoga explained: fitness tutorial for busy people. Practical tips and useful information.","Fitness"
"Ultimate laptops technology explained and what it means for the future","Technology"
"Complete rice recipe easy recipe without an oven","Food"
"Learn data science with this complete guide with coding exercises. Practical tips and useful information.","Education"
"Ultimate cloud technology comparison for everyday users. Practical tips and useful information.","Technology"
"Learn movie reviews with this news update with spoilers","Entertainment"
"Complete Kerala destination review with a complete itinerary. Practical tips and useful information.","Travel"
"Learn biryani with this healthy recipe with simple ingredients","Food"
"Everything about Rajasthan: budget travel guide with local tips. Practical tips and useful information.","Travel"
"Complete multiplayer games game analysis with a complete guide","Gaming"
"Ultimate muscle building routine for a healthy lifestyle","Fitness"
"game releases tips and tricks with the best settings. Practical tips and useful information.","Gaming"
"Ultimate breakfast ideas traditional recipe without an oven","Food"
"new movies top picks of the year","Entertainment"
"discrete mathematics complete guide from scratch","Education"
"Learn functional training with this workout challenge for a healthy lifestyle. Practical tips and useful information.","Fitness"
"Best Delhi trip planning guide with local tips","Travel"
"Learn Netflix series with this interview without spoilers. Practical tips and useful information.","Entertainment"
"entertainment news explained: interview with spoilers. Practical tips and useful information.","Entertainment"
"Complete college outfits fashion tips for beginners","Fashion"
"Learn AI tools with this innovation report for everyday users","Technology"
"healthy fitness habits: beginner session for busy people","Fitness"
"Ultimate dessert cooking tutorial with simple ingredients","Food"
"Ultimate survival games gaming tutorial with the best settings. Practical tips and useful information.","Gaming"
"abs workout workout challenge for a healthy lifestyle","Fitness"
"cybersecurity: project tutorial for interview preparation","Education"
"weekend trips explained: trip planning guide with local tips. Practical tips and useful information.","Travel"
"Complete computer networks study guide with coding exercises","Education"
"Best homemade burger traditional recipe for busy days","Food"
"fitness motivation fitness tips without equipment","Fitness"
"Best pizza 15 minute recipe with simple ingredients. Practical tips and useful information.","Food"
"Learn SQL with this project tutorial with practical examples. Practical tips and useful information.","Education"
"Ultimate office outfits fashion haul for beginners","Fashion"
"baking explained: cooking tutorial for busy days. Practical tips and useful information.","Food"
"data science explained: complete guide for college students. Practical tips and useful information.","Education"
